"t","u","f"
0.,0.,0.
0.01,4.167064137125633e-6,0.2511620781172535
0.02,0.00003315028590348917,0.501332934257217
0.03,0.00011121230236487112,0.7495252583428984
0.04,0.000261929617661624,0.9947595486594192
0.05,0.0005081045789251662,1.2360679774997896
0.06,0.0008716804045179419,1.4724982107387117
0.07,0.0013736595990056816,1.7031171662602909
0.08,0.0020340260759241584,1.9270146964068613
0.09,0.002871671294788899,2.1433071799159866
0.1,0.0039043247029724843,2.3511410091698925
0.11,0.005148488756103763,2.5496959589947585
0.12,0.006619378772592408,2.7381884237147545
0.13,0.008330867858822144,2.915874509685646
0.14,0.010295437121562948,3.082052971103157
0.15,0.012524131363303815,3.23606797749979
0.16,0.015026520434586788,3.3773117020080603
0.17,0.017810666395115332,3.505226720175455
0.18,0.020883096612502046,3.6193082098640783
0.19,0.02424878290410559,3.7191059435530054
0.2,0.027911126803573303,3.804226065180614
0.21,0.031871951009552514,3.8743326445145243
0.22,0.03613149704965022,3.9291490029147544
0.23,0.04068842916821045,3.9684588052579115
0.24,0.04553984442193,3.9921069137130862
0.25,0.050681288942851524,4.
0.26,0.056106780303947765,3.9921069137130862
0.27,0.06180883589844238,3.968458805257911
0.28,0.06777850722029509,3.9291490029147544
0.29,0.07400541991000383,3.8743326445145247
0.3,0.08047781940714066,3.8042260651806146
0.31,0.08718262202892227,3.7191059435530054
0.32,0.09410547127272001,3.619308209864078
0.33,0.10123079911981041,3.505226720175454
0.34,0.10854189209794333,3.37731170200806
0.35000000000000003,0.11602096184154016,3.23606797749979
0.36,0.12364921987059543,3.082052971103157
0.37,0.13140695629272203,2.9158745096856458
0.38,0.13927362211730962,2.7381884237147553
0.39,0.14722791485652367,2.5496959589947594
0.4,0.15524786707491522,2.351141009169893
0.41000000000000003,0.16331093753778525,2.1433071799159866
0.42,0.17139410459820753,1.9270146964068624
0.43,0.17947396145378844,1.7031171662602915
0.44,0.18752681289687656,1.4724982107387126
0.45,0.1955287731760545,1.23606797749979
0.46,0.20345586458236983,0.9947595486594193
0.47000000000000003,0.2112841163709149,0.7495252583428983
0.48,0.2189896636270524,0.5013329342572181
0.49,0.22654884568681544,0.25116207811725433
0.5,0.2339383037227793,4.898587196589413e-16
0.51,0.24113507711000895,-0.2511620781172534
