"t","u","f"
0.,0.,0.
0.01,5.2194814100166474e-6,0.31163075860858275
0.02,0.000041438198745047335,0.6081783989461139
0.03,0.00013808969602546967,0.8749969685015877
0.04,0.00032157303183153764,1.0983034980389759
0.05,0.0006138821541280398,1.2655814072350036
0.06,0.0010313577669275368,1.3659509969797539
0.07,0.001583618644531555,1.3904973526769566
0.08,0.0022726797171563305,1.3325470518323244
0.09,0.003092304381521277,1.187886354823391
0.1,0.004027602305127629,0.9549150281252629
0.11,0.005054889459198933,0.6347315679559707
0.12,0.006141821304210417,0.23114731914567074
0.13,0.007247796311303997,-0.24937122382928814
0.14,0.008324626478110695,-0.7978308337684193
0.15,0.009317458371279029,-1.4029077970429504
0.16,0.010165925464935588,-2.0512073806789926
0.17,0.010805508860648997,-2.7275803031309254
0.18,0.011169066425743288,-3.4154885346976522
0.19,0.011188502566846713,-4.097411484492581
0.2,0.010796528532055072,-4.755282581475768
0.21,0.009928476349968027,-5.370945453621058
0.22,0.008524115962940771,-5.926618372094055
0.23,0.006529431160850389,-6.405355370070542
0.24,0.003898306800484952,-6.791492475341311
0.25,0.0005940837115320078,-7.0710678118654755
0.26,-0.0034090612681424385,-7.232204920618186
0.27,-0.008124948379317548,-7.265449510202492
0.28,-0.013554473939491472,-7.1640509519843425
0.29,-0.01968496352506406,-6.924181156149592
0.3,-0.026489820496195644,-6.545084971874737
0.31,-0.033928484417238274,-6.0291579099584025
0.32,-0.041946706438008186,-5.381948749297288
0.33,-0.05047714122728387,-4.612086416332478
0.34,-0.0594402473794808,-3.7311323742281663
0.35000000000000003,-0.06874548102287283,-2.7533615807315845
0.36,-0.0782927593184775,-1.6954768256380919
0.37,-0.08797416538701393,-0.5762628974712755
0.38,-0.09767585926152826,0.5838114859506209
0.39,-0.10728015252522802,1.7630347535506985
0.4,-0.1166677057576987,2.9389262614623632
0.41000000000000003,-0.12571979671152347,4.088731651819413
0.42,-0.13432061147077312,5.189928108981788
0.43,-0.14235950827367047,6.220727560576181
0.44,-0.1497332011034102,7.160565888972438
0.45,-0.15634781642330925,7.990566526874577
0.46,-0.16212077539352635,8.693967401315994
0.47000000000000003,-0.16698245850232046,9.256501049326555
0.48,-0.17087761683195524,9.66671883511921
0.49,-0.17376649561494348,9.91625152599109
0.5,-0.17562564538798042,10.
0.51,-0.17644840313260368,9.91625152599109
0.52,-0.17624502968551792,9.66671883511921
0.53,-0.17504250469638327,9.256501049326555
0.54,-0.17288397660936952,8.69396740131599
0.55,-0.16982789107465393,7.990566526874574
0.56,-0.16594680335803874,7.160565888972435
0.5700000000000001,-0.1613259158974369,6.220727560576186
0.58,-0.15606136163856618,5.189928108981801
0.59,-0.15025828450995213,4.088731651819417
0.6,-0.1440287469397938,2.9389262614623686
0.61,-0.1374895221654185,1.763034753550703
0.62,-0.1307598156821187,0.5838114859506256
0.63,-0.12395896757219735,-0.576262897471271
0.64,-0.11720418744192064,-1.6954768256380952
0.65,-0.11060836829233606,-2.7533615807315805
0.66,-0.10427803433210374,-3.7311323742281757
0.67,-0.09831145625447577,-4.612086416332482
0.68,-0.09279698534657181,-5.381948749297295
0.6900000000000001,-0.08781162920604041,-6.0291579099584025
0.7000000000000001,-0.08341990923080372,-6.5450849718747355
0.71,-0.07967300586017509,-6.92418115614959
0.72,-0.07660823111939055,-7.164050951984344
0.73,-0.07424879811471392,-7.265449510202492
0.74,-0.07260393130821938,-7.232204920618185
0.75,-0.07166926187470048,-7.0710678118654755
0.76,-0.07142753883679144,-6.791492475341315
0.77,-0.07184959268755425,-6.405355370070542
0.78,-0.07289555401245708,-5.926618372094058
0.79,-0.07451627113456981,-5.370945453621058
0.8,-0.07665490172988741,-4.755282581475771
0.81,-0.07924862680466113,-4.097411484492579
0.8200000000000001,-0.0822304486796743,-3.4154885346976522
0.8300000000000001,-0.08553102461314566,-2.7275803031309183
0.84,-0.08908048413853252,-2.0512073806789997
0.85,-0.0928101889519741,-1.402907797042953
0.86,-0.09665439539905964,-0.7978308337684237
0.87,-0.1005517757561175,-0.2493712238292883
0.88,-0.10444675011530455,0.23114731914566747
0.89,-0.10829061563377734,0.6347315679559713
0.9,-0.11204244533574717,0.9549150281252619
0.91,-0.11566972208848951,1.187886354823392
0.92,-0.11914870686305594,1.3325470518323244
0.93,-0.12246453586548149,1.390497352676957
0.9400000000000001,-0.12561105140558096,1.3659509969797539
0.9500000000000001,-0.12859036056216777,1.265581407235004
0.96,-0.13141215570510298,1.0983034980389776
0.97,-0.1340928084707027,0.8749969685015879
0.98,-0.13665427026065574,0.6081783989461159
0.99,-0.13912280782518102,0.3116307586085822
1.,-0.1415276162524487,1.2246467991473533e-15
1.01,-0.14389934829963794,-0.3116307586085798
1.02,-0.14626860191325075,-0.6081783989461137
1.03,-0.1486644105450881,-0.8749969685015859
1.04,-0.15111278198690614,-1.098303498038976
1.05,-0.15363532438955474,-1.2655814072350031
1.06,-0.1562480051958697,-1.3659509969797543
1.07,-0.15896007296175957,-1.3904973526769568
1.08,-0.16177318283919215,-1.332547051832324
1.09,-0.16468074526961154,-1.1878863548233907
1.1,-0.1676675248254646,-0.9549150281252601
1.11,-0.1707094988935724,-0.634731567955969
1.12,-0.17377399633177368,-0.2311473191456646
1.1300000000000001,-0.17682009225171155,0.2493712238292916
1.1400000000000001,-0.17979928827155695,0.7978308337684191
1.1500000000000001,-0.18265642352244846,1.402907797042957
1.16,-0.18533083715346918,2.0512073806789854
1.17,-0.18775772056212764,2.7275803031309125
1.18,-0.18986965283766827,3.415488534697647
1.19,-0.19159826630722662,4.097411484492574
1.2,-0.19287600997269239,4.755282581475765
1.21,-0.19363796055583907,5.3709454536210535
1.22,-0.1938236405921954,5.926618372094055
1.23,-0.19337879747943051,6.40535537007054
1.24,-0.19225708738167424,6.791492475341313
1.25,-0.19042162760146064,7.071067811865475
1.26,-0.1878463846861634,7.232204920618185
1.27,-0.1845173365447899,7.265449510202492
1.28,-0.18043338655220673,7.164050951984343
1.29,-0.17560702789509944,6.924181156149592
1.3,-0.1700646778885306,6.545084971874739
1.31,-0.16384672565733943,6.029157909958407
1.32,-0.15700726309237492,5.381948749297281
1.33,-0.14961348169344676,4.612086416332476
1.34,-0.14174478019010395,3.73113237422817
1.35,-0.13349156907417256,2.753361580731589
1.36,-0.1249538047160539,1.695476825638073
1.37,-0.1162392875508049,0.5762628974712638
1.3800000000000001,-0.10746174977272548,-0.5838114859506331
1.3900000000000001,-0.0987387800326359,-1.7630347535507023
1.4000000000000001,-0.09018962753336086,-2.9389262614623592
1.41,-0.08193293255954356,-4.088731651819401
1.42,-0.07408443640562305,-5.189928108981777
1.43,-0.06675471631307985,-6.220727560576163
1.44,-0.06004700318748673,-7.1605658889724415
1.45,-0.054055123208660835,-7.990566526874573
1.46,-0.04886161802717697,-8.693967401315987
1.47,-0.044536076950915444,-9.256501049326546
1.48,-0.04113372893956014,-9.666718835119214
1.49,-0.03869431659044549,-9.91625152599109
1.5,-0.03724128611665154,-10.
1.51,-0.03678130655622386,-9.916251525991091
1.52,-0.03730413028712384,-9.666718835119216
1.53,-0.03878280183235864,-9.256501049326552
1.54,-0.04117420209805532,-8.693967401315994
1.55,-0.04441992733762044,-7.9905665268745825
1.56,-0.048447469348012175,-7.160565888972451
1.57,-0.05317168397144915,-6.220727560576174
1.58,-0.05849650226660066,-5.18992810898179
1.59,-0.06431685534723137,-4.088731651819415
1.6,-0.07052076302471418,-2.938926261462373
1.61,-0.07699154275176297,-1.763034753550683
1.62,-0.0836100882657492,-0.5838114859506136
1.6300000000000001,-0.090257166824577,0.5762628974712828
1.6400000000000001,-0.09681568535854203,1.6954768256380912
1.6500000000000001,-0.10317287396388493,2.753361580731577
1.6600000000000001,-0.10922234184697753,3.731132374228185
1.67,-0.11486595757897654,4.612086416332466
1.68,-0.12001551995742608,5.381948749297273
1.69,-0.1245941767164276,6.029157909958402
1.7,-0.12853757341096286,6.545084971874735
1.71,-0.1317946988383643,6.924181156149588
1.72,-0.13432842510554552,7.164050951984341
1.73,-0.13611572447746448,7.265449510202493
1.74,-0.13714757196388577,7.2322049206181855
1.75,-0.13742853814330866,7.071067811865477
1.76,-0.1369760871662397,6.791492475341316
1.77,-0.13581960747840668,6.405355370070551
1.78,-0.1339991958487682,5.926618372094054
1.79,-0.13156423907230516,5.370945453621061
1.8,-0.1285718217143517,4.755282581475773
1.81,-0.12508501223944576,4.097411484492591
1.82,-0.12117106426180488,3.415488534697645
1.83,-0.11689958615026273,2.7275803031309214
1.84,-0.1123407202580862,2.051207380678993
1.85,-0.10756338230093451,1.4029077970429553
1.86,-0.1026336002713395,0.7978308337684096
1.87,-0.09761299761007078,0.24937122382928306
1.8800000000000001,-0.09255745369625742,-0.231147319145672
1.8900000000000001,-0.08751597508218156,-0.6347315679559697
1.9000000000000001,-0.08252980355684757,-0.954915028125261
1.9100000000000001,-0.07763177683311964,-1.1878863548233938
1.92,-0.07284596103133842,-1.3325470518323226
1.93,-0.06818755058554357,-1.3904973526769564
1.94,-0.06366304530666168,-1.365950996979754
1.95,-0.05927068319418103,-1.2655814072350047
1.96,-0.05500112456329284,-1.0983034980389785
1.97,-0.05083835580504508,-0.8749969685015924
1.98,-0.04676079077744582,-0.6081783989461129
1.99,-0.04274253463742392,-0.31163075860858336
2.,-0.03875476766647867,-2.4492935982947065e-15
2.0100000000000002,-0.03476721906651775,0.31163075860858724
2.02,-0.030749680901425366,0.6081783989461086
2.0300000000000002,-0.02667351147290843,0.8749969685015885
2.04,-0.022513104854254305,1.0983034980389754
2.05,-0.018247259472657585,1.2655814072349987
2.06,-0.01386041670927635,1.365950996979753
2.07,-0.009343742569113033,1.390497352676957
2.08,-0.004696007118218663,1.3325470518323244
2.09,0.00007577427545914028,1.1878863548233967
2.1,0.004955936909222062,0.9549150281252652
2.11,0.009920021065762862,0.6347315679559755
2.12,0.014934911509144845,0.23114731914566636
2.13,0.01995924090496917,-0.249371223829275
2.14,0.024944057577398485,-0.7978308337684168
2.15,0.029833746484994712,-1.4029077970429458
2.16,0.03456718566544986,-2.0512073806790014
2.17,0.03907910375094058,-2.7275803031309107
2.18,0.04330161013634457,-3.4154885346976536
2.19,0.047165864811441874,-4.09741148449258
2.2,0.050603839112660705,-4.75528258147578
2.21,0.05355012977753418,-5.370945453621052
2.22,0.05594377547404977,-5.92661837209406
2.23,0.0577300340691343,-6.405355370070544
2.24,0.05886206888035113,-6.79149247534132
2.25,0.05930250462972368,-7.071067811865474
2.2600000000000002,0.059024806833777164,-7.232204920618187
2.27,0.058014449188949775,-7.265449510202493
2.2800000000000002,0.05626983523669475,-7.164050951984343
2.29,0.053802943744992754,-6.924181156149593
2.3000000000000003,0.05063968266385914,-6.545084971874728
2.31,0.04681992813762896,-6.02915790995841
2.32,0.04239725181159015,-5.381948749297305
2.33,0.03743832715877901,-4.612086416332478
2.34,0.032022029904564916,-3.7311323742282
2.35,0.02623824510069392,-2.753361580731593
2.36,0.020186402075153966,-1.6954768256381079
2.37,0.013973771736377125,-0.5762628974712682
2.38,0.007713554068344373,0.5838114859505953
2.39,0.001522804444645324,1.7630347535506978
2.4,-0.004479764001874684,2.9389262614623544
2.41,-0.010176047976701264,4.088731651819429
2.42,-0.01545084607678342,5.189928108981772
2.43,-0.020194121274840243,6.220727560576187
2.44,-0.024303185357883172,7.160565888972438
2.45,-0.02768475532004448,7.990566526874591
2.46,-0.030256834643819213,8.693967401315984
2.47,-0.031950379876857976,9.256501049326559
2.48,-0.032710708948205804,9.666718835119212
2.49,-0.03249862745257827,9.916251525991093
2.5,-0.03129123740717547,10.
2.5100000000000002,-0.029082419649183552,9.916251525991086
2.52,-0.025882971303262847,9.666718835119218
2.5300000000000002,-0.021720398620550585,9.256501049326555
2.54,-0.01663837121109968,8.693967401315996
2.5500000000000003,-0.010695844028623554,7.990566526874564
2.56,-0.00396587626058089,7.16056588897243
2.57,0.003465836611616067,6.220727560576235
2.58,0.011502674724215617,5.189928108981793
2.59,0.02003901814511949,4.088731651819418
2.6,0.02896233625967058,2.938926261462377
2.61,0.03815539622837102,1.763034753550721
2.62,0.047498542273686814,0.5838114859506514
2.63,0.056871992519790845,-0.5762628974712459
2.64,0.06615810579429546,-1.6954768256381176
2.65,0.07524356463644322,-2.7533615807315437
2.66,0.08402143191019051,-3.7311323742281814
2.67,0.09239303081974047,-4.612086416332486
2.68,0.10026961570363084,-5.3819487492972895
2.69,0.10757379189814431,-6.029157909958398
2.7,0.11424066256564053,-6.545084971874733
2.71,0.12021867753835448,-6.9241811561495865
2.72,0.125470169333541,-7.1640509519843505
2.73,0.12997157442968665,-7.265449510202492
2.74,0.13371333221077195,-7.232204920618183
2.75,0.13669948041106528,-7.0710678118654835
2.7600000000000002,0.1389469524031807,-6.7914924753413075
2.77,0.1404846070500421,-6.405355370070541
2.7800000000000002,0.14135201531417527,-5.926618372094055
2.79,0.14159803860970888,-5.370945453621063
2.8000000000000003,0.14127924040986997,-4.755282581475774
2.81,0.14045816894218063,-4.097411484492595
2.82,0.13920156159484207,-3.4154885346976678
2.83,0.13757851202281657,-2.727580303130943
2.84,0.1356586517891602,-2.0512073806790148
2.85,0.13351038760518671,-1.4029077970429402
2.86,0.13119924254627333,-0.7978308337684447
2.87,0.1287863373664316,-0.2493712238292851
2.88,0.1263270523075508,0.23114731914567027
2.89,0.12386989847405806,0.6347315679559684
2.9,0.12145562428800143,0.9549150281252599
2.91,0.11911657966951893,1.1878863548233878
2.92,0.11687634385021504,1.3325470518323221
2.93,0.114749630838043,1.390497352676957
2.94,0.11274246121912641,1.365950996979756
2.95,0.1108525994461872,1.2655814072350013
2.96,0.10907023523868382,1.0983034980389736
2.97,0.10737888847300331,0.8749969685015864
2.98,0.10575651093964882,0.608178398946114
2.99,0.10417674863480912,0.3116307586085846
3.,0.10261032919311883,3.673940397442059e-15
